SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG ROOM,CAMPUS,,,INSTRUCTOR,TERM,SIZE,AVL
19954 0,A 0.0 - 0.0,M W,01:25 pm-02:15 pm,1023,,0307A,Athens,,1,24,24
19957 0,A 0.0 - 0.0,M W,03:35 pm-04:25 pm,1023,,0307A,Athens,,1,24,24
19959 0,A 0.0 - 0.0,T R,09:30 am-10:45 am,1023,,0307A,Athens,,1,24,24
19960 0,A 0.0 - 0.0,T R,11:00 am-12:15 pm,1023,,0307A,Athens,,1,24,24
19963 0,A 0.0 - 0.0,M W,11:15 am-12:05 pm,1023,,0307A,Athens,,1,24,24
19964 0,A 0.0 - 0.0,M W,04:40 pm-05:30 pm,1023,,0307A,Athens,,1,24,24
22855 0,A 0.0 - 0.0,M W,10:10 am-11:00 am,1023,,0307A,Athens,,1,24,24
25527 0,A 0.0 - 0.0,M W,03:35 pm-04:25 pm,1023,,0201,Athens,,1,30,30
CSCI,1302,Soft Development,,Computer Science,,,,,,,
16468 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1002,,0200C,Athens,Cotterell,1,80,80
0,A 4.0 - 4.0,M,11:15 am-12:05 pm,1000,,0404A,Athens,Cotterell,1,80,80
16471 0,A 4.0 - 4.0,M,02:30 pm-03:20 pm,1050,,0101,Athens,Cotterell,1,80,80
0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1001,,0451,Athens,Cotterell,1,80,80
25528 0,A 4.0 - 4.0,W,10:10 am-11:00 am,1031,,0101,Athens,Lawson,1,49,49
0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1031,,0101,Athens,Lawson,1,49,49
CSCI,1730,Systems Programming,,Computer Science,,,,,,,
16625 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1011,,0104,Athens,Lawson,1,30,30
0,A 4.0 - 4.0,W,10:10 am-11:00 am,1023,,0201,Athens,Lawson,1,30,30
16632 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1011,,0104,Athens,Lawson,1,30,30
0,A 4.0 - 4.0,W,11:15 am-12:05 pm,1023,,0201,Athens,Lawson,1,30,30
16636 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1011,,0104,Athens,Lawson,1,30,30
0,A 4.0 - 4.0,W,12:20 pm-01:10 pm,1023,,0201,Athens,Lawson,1,30,30
16641 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1011,,0104,Athens,Lawson,1,30,30
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,1730,Systems Programming,,Computer Science,,,,,,,
16641 0,A 4.0 - 4.0,W,01:25 pm-02:15 pm,1023,,0201,Athens,Lawson,1,30,30
30587 0,A 4.0 - 4.0,T,03:30 pm-04:45 pm,1023,,0201,Athens,Lawson,1,30,30
0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1011,,0104,Athens,Lawson,1,30,30
30588 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1011,,0104,Athens,Lawson,1,30,30
0,A 4.0 - 4.0,R,03:30 pm-04:45 pm,1023,,0201,Athens,Lawson,1,30,30
30589 0,A 4.0 - 4.0,T,09:30 am-10:45 am,1023,,0201,Athens,Lawson,1,30,30
0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1011,,0104,Athens,Lawson,1,30,30
30590 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1011,,0104,Athens,Lawson,1,30,30
0,A 4.0 - 4.0,R,09:30 am-10:45 am,1023,,0201,Athens,Lawson,1,30,30
CSCI,2150,Intro Scientif Comp,,Computer Science,,,,,,,
22426 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1011,,0210,Athens,Hollingsworth,1,60,60
CSCI,2150L,Lab Scientif Comp,,Computer Science,,,,,,,
22826 0,A 0.0 - 0.0,M W,04:40 pm-05:30 pm,1023,,0201,Athens,,1,30,30
30577 0,A 0.0 - 0.0,M W,08:00 am-08:50 am,1023,,0201,Athens,,1,30,30
CSCI,2610,Discrete Mathematics for CSCI,,Computer Science,,,,,,,
15151 0,A 4.0 - 4.0,M,10:10 am-11:00 am,1001,,0453,Athens,KESHIGARI,1,80,80
0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1000,,0404A,Athens,KESHIGARI,1,80,80
15152 0,A 4.0 - 4.0,M,11:15 am-12:05 pm,1013,,0319,Athens,,1,49,49
0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1023,,0328,Athens,,1,49,49
25646 0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,1050,,0101,Athens,Cotterell,1,80,80
0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1001,,0451,Athens,Cotterell,1,80,80
CSCI,2670,Intro Theory Comput,,Computer Science,,,,,,,
15153 0,A 4.0 - 4.0,M,12:20 pm-01:10 pm,1010,,0110,Athens,Hollingsworth,1,70,70
0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1002,,0200B,Athens,Hollingsworth,1,70,70
22423 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1050,,0101,Athens,Hollingsworth,1,70,70
0,A 4.0 - 4.0,M,10:10 am-11:00 am,1050,,0101,Athens,Hollingsworth,1,70,70
32574 0,A 4.0 - 4.0,M,02:30 pm-03:20 pm,1031,,0101,Athens,,1,49,49
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,2670,Intro Theory Comput,,Computer Science,,,,,,,
32574 0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1031,,0101,Athens,,1,49,49
CSCI,2720,Data Structures,,Computer Science,,,,,,,
17504 0,A 4.0 - 4.0,M,02:30 pm-03:20 pm,1001,,0453,Athens,Allahyari,1,65,65
0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1001,,0455,Athens,Allahyari,1,65,65
25654 0,A 4.0 - 4.0,W,12:20 pm-01:10 pm,1001,,0453,Athens,Saleh,1,65,65
0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1001,,0451,Athens,Saleh,1,65,65
30839 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1061,,1102,Athens,Allahyari,1,49,49
0,A 4.0 - 4.0,M,11:15 am-12:05 pm,1031,,0101,Athens,Allahyari,1,49,49
CSCI,3030,"Computing, Ethics, and Society",,Computer Science,,,,,,,
15155 0,A 3.0 - 3.0,M,09:05 am-09:55 am,1023,,0201,Athens,Everett,1,30,30
0,A 3.0 - 3.0,M W,08:00 am-08:50 am,1001,,0400,Athens,Everett,1,30,30
25553 0,A 3.0 - 3.0,M W,08:00 am-08:50 am,1001,,0400,Athens,Everett,1,30,30
0,A 3.0 - 3.0,W,09:05 am-09:55 am,1023,,0201,Athens,Everett,1,30,30
28723 0,A 3.0 - 3.0,M,01:25 pm-02:15 pm,1030,,0304,Athens,Everett,1,30,30
0,A 3.0 - 3.0,M W,08:00 am-08:50 am,1001,,0400,Athens,Everett,1,30,30
30593 0,A 3.0 - 3.0,,F 09:05 am-09:55 am,1023,,0201,Athens,Everett,1,30,30
0,A 3.0 - 3.0,M W,08:00 am-08:50 am,1001,,0400,Athens,Everett,1,30,30
34115 0,A 3.0 - 3.0,M W,08:00 am-08:50 am,1001,,0400,Athens,Everett,1,30,30
0,A 3.0 - 3.0,M,12:20 pm-01:10 pm,1023,,0201,Athens,Everett,1,30,30
CSCI,4050,Soft Engineering,,Computer Science,,,,,,,
15157 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1023,,0208,Athens,Saleh,1,48,48
0,A 4.0 - 4.0,M,10:10 am-11:00 am,1023,,0208,Athens,Saleh,1,48,48
31877 0,C 4.0 - 4.0,W,10:10 am-11:00 am,1023,,0208,Athens,Saleh,1,48,48
0,C 4.0 - 4.0,T R,09:30 am-10:45 am,1023,,0208,Athens,Saleh,1,48,48
33828 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1023,,0306,Athens,Kochut,1,48,48
0,A 4.0 - 4.0,W,11:15 am-12:05 pm,1023,,0306,Athens,Kochut,1,48,48
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,4210,Simulation and Mod,,Computer Science,,,,,,,
33838 0,A 4.0 - 4.0,M,11:15 am-12:05 pm,1010,,0306,Athens,Hybinette,1,48,48
0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1090,,0316A,Athens,Hybinette,1,48,48
CSCI,4300,Web Programming,,Computer Science,,,,,,,
31786 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1001,,0455,Athens,Allahyari,1,65,65
0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,1001,,0453,Athens,Allahyari,1,65,65
CSCI,4360,Data Science II,,Computer Science,,,,,,,
33840 0,A 4.0 - 4.0,W,11:15 am-12:05 pm,1031,,0101,Athens,Quinn,1,48,48
0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1031,,0101,Athens,Quinn,1,48,48
CSCI,4370,Database Management,,Computer Science,,,,,,,
20875 0,A 4.0 - 4.0,W,12:20 pm-01:10 pm,1001,,0455,Athens,Miller,1,65,65
0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1000,,0404D,Athens,Miller,1,65,65
CSCI,4380,Data Mining,,Computer Science,,,,,,,
33842 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1023,,0208,Athens,Rasheed,1,48,48
0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,1023,,0208,Athens,Rasheed,1,48,48
CSCI,4470,Algorithms,,Computer Science,,,,,,,
31873 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1001,,0455,Athens,Cai,1,65,65
0,A 4.0 - 4.0,M,11:15 am-12:05 pm,1001,,0453,Athens,Cai,1,65,65
CSCI,4530,Intro to Robotics,,Computer Science,,,,,,,
30761 0,A 4.0 - 4.0,W,11:15 am-01:10 pm,1023,,0208,Athens,Doshi,1,48,48
0,A 4.0 - 4.0,W,10:10 am-11:00 am,1023,,0208,Athens,Doshi,1,48,48
0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1023,,0208,Athens,Doshi,1,48,48
CSCI,4540,Symbolic Prog,,Computer Science,,,,,,,
16709 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,1011,,0212,Athens,Maier,1,38,38
CSCI,4550,Artif Intelligence,,Computer Science,,,,,,,
16721 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1010,,0306,Athens,Maier,1,48,48
CSCI,4720,Computer Architecture Organiza,,Computer Science,,,,,,,
31806 0,A 4.0 - 4.0,M,12:20 pm-01:10 pm,1001,,0453,Athens,KESHIGARI,1,65,65
0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1001,,0455,Athens,KESHIGARI,1,65,65
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,4730,Operating Systems,,Computer Science,,,,,,,
16853 0,A 4.0 - 4.0,W,02:30 pm-03:20 pm,1001,,0453,Athens,Lee,1,65,65
0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1003,,0303,Athens,Lee,1,65,65
CSCI,4760,Computer Networks,,Computer Science,,,,,,,
31872 0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1001,,0453,Athens,KESHIGARI,1,65,65
0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,1001,,0455,Athens,KESHIGARI,1,65,65
CSCI,4810,Computer Graphics,,Computer Science,,,,,,,
16885 0,A 4.0 - 4.0,W,08:00 am-08:50 am,1023,,0306,Athens,Arabnia,1,48,48
0,A 4.0 - 4.0,T R,08:00 am-09:15 am,1023,,0306,Athens,Arabnia,1,48,48
CSCI,4950,Directed Study,,Computer Science,,,,,,,
13028 0,A 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Barnes,1,10,10
18177 0,C 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Cotterell,1,10,10
18180 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Arpinar,1,10,10
18182 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Bhandarkar,1,10,10
18185 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Cai,1,10,10
18186 0,A 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Hollingsworth,1,10,10
18187 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Doshi,1,10,10
18188 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Everett,1,10,10
18189 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Funk,1,10,10
18190 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Hybinette,1,10,10
18235 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kochut,1,10,10
18236 0,A 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Hong,1,10,10
18237 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Li,1,10,10
18238 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Liu,1,10,10
18239 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Miller,1,10,10
18240 0,A 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,KESHIGARI,1,10,10
18241 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Perdisci,1,10,10
18242 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Ramaswamy,1,10,10
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,4950,Directed Study,,Computer Science,,,,,,,
18244 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Rasheed,1,10,10
18245 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Taha,1,10,10
18246 0,A 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Allahyari,1,10,10
21129 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Johnsen,1,10,10
28935 0,A 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Lee,1,2,2
32115 0,A 1.0 - 4.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Lee,1,10,10
32886 0,A 1.0 - 4.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Maier,1,10,10
CSCI,5007,Intern Comp Sci Busi Indus,,Computer Science,,,,,,,
18247 0,A 3.0 - 3.0,,F 10:10 am-11:00 am,1023,,0208,Athens,Arpinar,1,10,10
0,A 3.0 - 3.0,M,10:10 am-11:00 am,1023,,0306,Athens,Arpinar,1,10,10
18249 0,A 3.0 - 3.0,M,01:25 pm-02:15 pm,1023,,0306,Athens,Barnes,1,10,10
18250 0,A 3.0 - 3.0,M,12:20 pm-01:10 pm,1023,,0306,Athens,Everett,1,10,10
0,A 3.0 - 3.0,,F 12:20 pm-01:10 pm,1023,,0208,Athens,Everett,1,10,10
CSCI,6050,Soft Engineering,,Computer Science,,,,,,,
31879 0,A 4.0 - 4.0,W,11:15 am-12:05 pm,1038,,0210,Athens,Kochut,1,10,10
0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1038,,0210,Athens,Kochut,1,10,10
33829 0,A 4.0 - 4.0,T R,09:30 am-10:45 am,1023,,0326,Athens,Saleh,1,11,11
0,A 4.0 - 4.0,M,10:10 am-11:00 am,1023,,0208,Athens,Saleh,1,11,11
CSCI,6210,Simulation and Mod,,Computer Science,,,,,,,
33839 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1060,,0607,Athens,Hybinette,1,15,15
0,A 4.0 - 4.0,M,11:15 am-12:05 pm,1023,,0326,Athens,Hybinette,1,15,15
CSCI,6360,Data Science II,,Computer Science,,,,,,,
33841 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1130,,0303,Athens,,1,15,15
0,A 4.0 - 4.0,W,11:15 am-12:05 pm,1023,,0326,Athens,,1,15,15
CSCI,6370,Database Management,,Computer Science,,,,,,,
20877 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1023,,0326,Athens,Miller,1,15,15
0,A 4.0 - 4.0,W,12:20 pm-01:10 pm,1010,,0379,Athens,Miller,1,15,15
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,6380,Data Mining,,Computer Science,,,,,,,
33843 0,A 4.0 - 4.0,M,03:35 pm-04:25 pm,1023,,0208,Athens,Rasheed,1,15,15
0,A 4.0 - 4.0,T R,03:30 pm-04:45 pm,1023,,0208,Athens,Rasheed,1,15,15
CSCI,6470,Algorithms,,Computer Science,,,,,,,
16701 0,A 4.0 - 4.0,T R,12:30 pm-01:45 pm,1090,,0213,Athens,,1,20,20
0,A 4.0 - 4.0,M,12:20 pm-01:10 pm,1030,,0239,Athens,,1,20,20
31874 0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1046,,0516,Athens,Cai,1,20,20
0,A 4.0 - 4.0,M,11:15 am-12:05 pm,1030,,0304,Athens,Cai,1,20,20
CSCI,6530,Intro to Robotics,,Computer Science,,,,,,,
33845 0,A 4.0 - 4.0,W,11:15 am-01:10 pm,1023,,0208,Athens,Doshi,1,20,20
0,A 4.0 - 4.0,W,10:10 am-11:00 am,1023,,0208,Athens,Doshi,1,20,20
0,A 4.0 - 4.0,T R,11:00 am-12:15 pm,1023,,0208,Athens,Doshi,1,20,20
CSCI,6540,Symbolic Prog,,Computer Science,,,,,,,
16718 0,A 3.0 - 3.0,T R,02:00 pm-03:15 pm,1011,,0212,Athens,Maier,1,10,10
34696 0,C 3.0 - 3.0,T R,02:00 pm-03:15 pm,1011,,0212,Athens,Maier,1,10,10
CSCI,6550,Artif Intelligence,,Computer Science,,,,,,,
16727 0,A 3.0 - 3.0,T R,09:30 am-10:45 am,1038,,0210,Athens,Maier,1,10,10
CSCI,6720,Comp Sys Architect,,Computer Science,,,,,,,
33846 0,A 4.0 - 4.0,W,02:30 pm-03:20 pm,1023,,0208,Athens,Bhandarkar,1,48,48
0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1023,,0208,Athens,Bhandarkar,1,48,48
CSCI,6730,Operating Systems,,Computer Science,,,,,,,
16862 0,A 4.0 - 4.0,T R,02:00 pm-03:15 pm,1038,,0210,Athens,Lee,1,12,12
0,A 4.0 - 4.0,W,02:30 pm-03:20 pm,1038,,0210,Athens,Lee,1,12,12
CSCI,6810,Computer Graphics,,Computer Science,,,,,,,
16890 0,A 4.0 - 4.0,W,08:00 am-08:50 am,1023,,0306,Athens,Arabnia,1,15,15
0,A 4.0 - 4.0,T R,08:00 am-09:15 am,1023,,0306,Athens,Arabnia,1,15,15
CSCI,6900,Special Topics,,Computer Science,,,,,,,
31397 0,A 1.0 - 4.0,W,02:30 pm-03:20 pm,1030,,0304,Athens,Hong,1,30,30
0,A 1.0 - 4.0,T R,02:00 pm-03:15 pm,1031,,0102,Athens,Hong,1,30,30
SUBJECT,COURSE NO,TITLE,,,DEPARTMENT,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,,TIME,BLDG,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,6900,Special Topics,,,Computer Science,,,,,,
31772 0,A 1.0 - 4.0,T R,,03:30 pm-04:45 pm,1023,0306,Athens,Lee,1,30,30
0,A 1.0 - 4.0,W,,03:35 pm-04:25 pm,1023,0306,Athens,Lee,1,30,30
CSCI,6950,Directed Study,,,Computer Science,,,,,,
18251 0,A 1.0 - 4.0,M,,04:40 pm-05:30 pm,1023,0306,Athens,Arabnia,1,11,11
0,A 1.0 - 4.0,,F,01:25 pm-02:15 pm,1023,0208,Athens,Arabnia,1,11,11
18252 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Arpinar,1,10,10
18253 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Bhandarkar,1,10,10
18254 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Cai,1,10,10
18255 0,A 1.0 - 4.0,M,,09:05 am-09:55 am,1023,0306,Athens,Rasheed,1,10,10
18256 0,A 1.0 - 4.0,,F,02:30 pm-03:20 pm,1023,0208,Athens,Doshi,1,10,10
0,A 1.0 - 4.0,M,,02:30 pm-03:20 pm,1023,0306,Athens,Doshi,1,10,10
18257 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Everett,1,10,10
18258 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Funk,1,10,10
18259 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Hybinette,1,10,10
18260 0,A 1.0 - 4.0,,F,10:10 am-11:00 am,1023,0306,Athens,Kochut,1,10,10
18263 0,A 1.0 - 4.0,,F,11:15 am-12:05 pm,1023,0306,Athens,Quinn,1,10,10
18310 0,A 1.0 - 4.0,,F,01:25 pm-02:15 pm,1023,0306,Athens,Li,1,10,10
18311 0,A 1.0 - 4.0,,F,02:30 pm-03:20 pm,1023,0306,Athens,Liu,1,10,10
18312 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Miller,1,10,10
18313 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Perdisci,1,10,10
18314 0,A 1.0 - 4.0,,F,12:20 pm-01:10 pm,1023,0306,Athens,Ramaswamy,1,10,10
18315 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Potter,1,10,10
18316 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Rasheed,1,10,10
18318 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Taha,1,10,10
18319 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Johnsen,1,10,10
28654 0,A 1.0 - 4.0,W,,09:05 am-09:55 am,1023,0306,Athens,Cai,1,10,10
28883 0,A 1.0 - 4.0,,,12:01 am-11:59 pm,NCRR,NCRR,Athens,Quinn,1,10,10
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,6950,Directed Study,,Computer Science,,,,,,,
33012 0,A 1.0 - 4.0,,F 09:05 am-09:55 am,1023,,0306,Athens,Miller,1,10,10
33013 0,A 1.0 - 4.0,M,04:40 pm-05:30 pm,1023,,0306,Athens,Li,1,10,10
CSCI,7000,Master's Research,,Computer Science,,,,,,,
18342 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Arabnia,1,10,10
18345 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Arpinar,1,10,10
18347 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Bhandarkar,1,10,10
18348 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Cai,1,10,10
18349 0,A 1.0 - 6.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Doshi,1,10,10
18350 0,A 1.0 - 6.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Funk,1,10,10
18351 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Everett,1,10,10
18352 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Hybinette,1,10,10
18353 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,TBA,Athens,Kochut,1,10,10
18354 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Quinn,1,10,10
18355 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Li,1,10,10
18356 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Liu,1,10,10
18357 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Miller,1,10,10
18748 0,A 1.0 - 6.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Hong,1,10,10
18749 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Perdisci,1,10,10
18750 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Ramaswamy,1,10,10
18751 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Rasheed,1,10,10
18752 0,A 1.0 - 6.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Lee,1,10,10
20190 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Johnsen,1,5,5
20237 0,A 1.0 - 6.0,,12:01 am-11:59 pm,TBA,,TBA,Athens,Lee,1,10,10
CSCI,7007,Intern Comp Sci Busi Indus,,Computer Science,,,,,,,
18753 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Doshi,1,10,10
18754 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Kochut,1,10,10
18756 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Miller,1,10,10
SUBJECT,COURSE NO,TITLE,,DEPARTMENT,,,,,PART OF,CLS,SEATS
CRN SEC,STAT CREDIT HRS,DAYS,TIME,BLDG,,ROOM,CAMPUS,INSTRUCTOR,TERM,SIZE,AVL
CSCI,7007,Intern Comp Sci Busi Indus,,Computer Science,,,,,,,
18757 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Bhandarkar,1,10,10
20818 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Ramaswamy,1,10,10
21010 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Perdisci,1,10,10
21980 0,A 3.0 - 3.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Quinn,1,10,10
CSCI,7300,Master's Thesis,,Computer Science,,,,,,,
18759 0,A 1.0 - 6.0,M W,F 09:05 am-09:55 am,1023,,0208,Athens,Arabnia,1,10,10
18760 0,A 1.0 - 6.0,,12:01 am-11:59 pm,NCRR,,NCRR,Athens,Arpinar,1,10,10
